id,language,news_text,label
1,Malayalam,കേരള സർക്കാർ പുതിയ ആരോഗ്യ പദ്ധതി പ്രഖ്യാപിച്ചു. ഈ പദ്ധതി രാജ്യത്തെ ആരോഗ്യ മേഖലയിൽ വലിയ മാറ്റം വരുത്തും.,0
6,Malayalam,കേരളത്തിൽ പുതിയ സോളാർ പവർ പ്ലാന്റ് സ്ഥാപിക്കും. ഇത് പരിസ്ഥിതി സംരക്ഷണത്തിൽ സഹായിക്കും.,0
37,Tamil,இந்தியாவில் புதிய நாடு ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த நாட்டில் 1000 கோடி மக்கள்தொகை உள்ளது.,1
46,Kannada,ಕರ್ನಾಟಕದಲ್ಲಿ ಹೊಸ ಸೌರ ವಿದ್ಯುತ್ ಕೇಂದ್ರ ಸ್ಥಾಪಿಸಲಾಗುತ್ತದೆ. ಇದು ಪರಿಸರ ಸಂರಕ್ಷಣೆಯಲ್ಲಿ ಸಹಾಯ ಮಾಡುತ್ತದೆ.,0
14,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ രാജ്യം കണ്ടെത്തി. ഈ രാജ്യത്തിൽ 1000 കോടി ജനസംഖ്യയുണ്ട്.,1
55,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ಭಾಷೆಯೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ಭಾಷೆ ಜಗತ್ತಿನ ಅತಿ ಪ್ರಾಚೀನ ಭಾಷೆ.,1
34,Tamil,இந்தியாவில் புதிய நாடு ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த நாட்டில் 1000 கோடி மக்கள்தொகை உள்ளது.,1
49,Kannada,ಭಾರತೀಯ ತಂತ್ರಜ್ಞಾನ ಕಂಪನಿಗಳು ಹೊಸ ಕೃತಕ ಬುದ್ಧಿಮತ್ತೆ ಉತ್ಪನ್ನಗಳನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸುತ್ತಿವೆ.,0
13,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ രോഗം പടർന്നു. ഈ രോഗം ഒരു ദിവസത്തിനുള്ളിൽ ലോകത്തെ 50% ജനസംഖ്യയെ ബാധിക്കും.,1
58,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ಭಾಷೆಯೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ಭಾಷೆ ಜಗತ್ತಿನ ಅತಿ ಪ್ರಾಚೀನ ಭಾಷೆ.,1
47,Kannada,ಭಾರತೀಯ ರೈಲ್ವೆ ಹೊಸ ಹೆಚ್ಚಿನ ವೇಗದ ರೈಲು ಸೇವೆಯನ್ನು ಪ್ರಾರಂಭಿಸುತ್ತಿದೆ. ಇದು ಪ್ರಯಾಣ ಸಮಯವನ್ನು ಕಡಿಮೆ ಮಾಡುತ್ತದೆ.,0
51,Kannada,ಭಾರತದಲ್ಲಿ ಜಗತ್ತಿನ ಅತಿ ದೊಡ್ಡ ಕರಗಿದ ಉತ್ಪನ್ನಗಳನ್ನು ಉತ್ಪಾದಿಸುವ ಕಾರ್ಖಾನೆ ಸ್ಥಾಪಿಸಲಾಗುತ್ತದೆ. ಇದು ದೇಶವನ್ನು ಜಗತ್ತಿನ ಅತಿ ದೊಡ್ಡ ಚಿನ್ನ ಉತ್ಪಾದಕನನ್ನಾಗಿ ಮಾಡುತ್ತದೆ.,1
32,Tamil,இந்தியாவில் புதிய கோள் ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த கோளில் மனிதர்கள் வாழ முடியும்.,1
4,Malayalam,കേരളത്തിൽ പുതിയ ഇലക്ട്രിക് വാഹന ചാർജിംഗ് സ്റ്റേഷനുകൾ സ്ഥാപിക്കും. ഇത് ഇലക്ട്രിക് വാഹന ഉപയോഗത്തെ പ്രോത്സാഹിപ്പിക്കും.,0
53,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ರೋಗವೊಂದು ಹರಡಿದೆ. ಈ ರೋಗ ಒಂದು ದಿನದಲ್ಲಿ ಜಗತ್ತಿನ 50% ಜನಸಂಖ್ಯೆಯನ್ನು ಪೀಡಿಸುತ್ತದೆ.,1
18,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ ഭാഷ കണ്ടെത്തി. ഈ ഭാഷ ലോകത്തെ ഏറ്റവും പുരാതന ഭാഷയാണ്.,1
9,Malayalam,ഇന്ത്യൻ ടെക്നോളജി കമ്പനികൾ പുതിയ ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് ഉൽപ്പന്നങ്ങൾ വികസിപ്പിക്കുന്നു.,0
7,Malayalam,ഇന്ത്യൻ റെയിൽവേ പുതിയ ഹൈസ്പീഡ് ട്രെയിൻ സേവനം ആരംഭിക്കും. ഇത് യാത്ര സമയം കുറയ്ക്കും.,0
